entreprise,site,zone,ville,score
LIM SAS Agence SUD,https://lim.eu/,"Cannes, France",Cannes,4
iQualit,http://www.iqualit.com,"Cannes, France",Cannes,4
Compagnie Des Déboucheurs Alpes-Maritimes,https://www.compagnie-deboucheurs.com/alpes-maritimes/,"Cannes, France",Cannes,4
Pisoni publicité,https://www.pisoni.fr/,"Cannes, France",Cannes,4
Antibes Informatique,https://contact-368b.myshopify.com/,"Cannes, France",Cannes,1
Astek Sud-Est,https://www.groupeastek.com/,"Cannes, France",Cannes,1
Extra - Ets Perez,https://www.extra.fr/magasin/extra-le-plan-de-grasse,"Cannes, France",Cannes,1
Afp Le Cannet,https://www.fenetresafplecannet.com/,"Cannes, France",Cannes,1
Clic' Ordi,http://www.clic-ordi.com,"Cannes, France",Cannes,1
BayLibre,https://baylibre.com/,"Cannes, France",Cannes,1
Actif Azur,https://actif-azur.com,"Cannes, France",Cannes,1
Innovelia,http://www.innovelia.com/,"Cannes, France",Cannes,1
DAAB,https://www.daab.fr/,"Cannes, France",Cannes,1
S.I.I Société pour l'Informatique Industrielle,https://sii-group.com/fr-FR,"Cannes, France",Cannes,1
Idea Casa,http://www.ideacasa.fr,"Cannes, France",Cannes,1
Infotel Conseil,https://www.infotel.com/,"Cannes, France",Cannes,1
Avenir,https://www.avenir-computer.com/,"Cannes, France",Cannes,1
TRAXxs SAS,https://traxxs.net,"Cannes, France",Cannes,1
Instant System,https://instant-system.com/,"Cannes, France",Cannes,1
Ice computer.fr,https://icecomputer.fr/,"Cannes, France",Cannes,1
Aliant,https://aliant.fr,"Cannes, France",Cannes,1
France 3 Côte d'Azur,https://france3-regions.francetvinfo.fr/provence-alpes-cote-d-azur/,"Cannes, France",Cannes,1
Ubaldi,https://www.ubaldi.com/magasins/provence-alpes-cote-d-azur/antibes/electro-cuisine-info/3-electro-cuisine-antibes,"Cannes, France",Cannes,1
Les Demoiselles Du Téléphone,https://www.lesdemoiselles.tel/,"Cannes, France",Cannes,1
Sudelectro.com,https://www.sudelectro.com/,"Cannes, France",Cannes,1
CoNext,https://conext.computer,"Cannes, France",Cannes,1
Générale Des Services Cannes,https://lerins-services.fr/,"Cannes, France",Cannes,1
Carere,https://www.carere.fr,"Cannes, France",Cannes,1
Carlo Sweering,https://sweering.com,"Cannes, France",Cannes,1
TéléValbonne,https://www.televalbonne.fr/,"Cannes, France",Cannes,1
aepsilon,https://aepsilon.com/,"Cannes, France",Cannes,1
Télé Hifi Albert 1er,https://telehifialbert1er.site-solocal.com/,"Cannes, France",Cannes,1
Orbisur,https://www.orbisur.com/,"Cannes, France",Cannes,1
Recode,https://www.recode.fr,"Cannes, France",Cannes,1
Centre d'affaires du loup,https://www.centre-affaires-du-loup.fr/,"Cannes, France",Cannes,1
Aquatiris,https://www.aquatiris.com/expert/aquatiris-alpes-maritimes/,"Cannes, France",Cannes,1
Centre Services Cannes - Ménage et Repassage,https://cannes.centreservices.fr,"Cannes, France",Cannes,1
ALTA VISION Géomètre-Expert,https://www.altavision.fr,"Cannes, France",Cannes,1
Ampère (Renault),https://www.ampere.cars/,"Cannes, France",Cannes,1
Celad,https://www.celad.com/,"Cannes, France",Cannes,1
Bertrandt,https://www.bertrandt.com/,"Cannes, France",Cannes,1
MaxeV,https://www.maxev.fr/,"Cannes, France",Cannes,1
Kapsys,https://www.kapsys.com/en/,"Cannes, France",Cannes,1
Greenerwave,https://www.greenerwave.com/,"Cannes, France",Cannes,1
Extra - Ets Balena,https://www.extra.fr/magasin/extra-cagnes-sur-mer,"Cannes, France",Cannes,1
YouStock Cannes - Stockage et Déménagement,https://www.youstock.com,"Cannes, France",Cannes,1
Advans Group;Avisto Telecom;Elsys Design,https://www.advans-group.com;https://www.avisto.com;https://www.elsys-design.com,"Cannes, France",Cannes,1
STPS,http://stps-plomberie.fr/,"Cannes, France",Cannes,1
HERMAN & ARNAL,https://herman-arnal.com/paiement-en-cryptomonnaie-pour-projet-architecture/,"Cannes, France",Cannes,1
Esccom Formation Professionnelle - Cannes,https://esccom.net/formation-continue/,"Cannes, France",Cannes,-2
FLC Formation - Antibes Juan-les-Pins,https://www.flcformation.fr/,"Cannes, France",Cannes,-2
FLC Formation - Villeneuve - Loubet,https://www.flcformation.fr/etablissement/villeneuve-loubet/,"Cannes, France",Cannes,-2
Airtech Peinture,https://www.airtechpeinture.fr/,"Auxerre, France",Auxerre,6
Techno Textiles de Bourgogne,https://www.technotextiles89.com/,"Auxerre, France",Auxerre,6
Vital Aire,https://fr.vitalaire.com/,"Auxerre, France",Auxerre,4
Petit Forestier,https://www.petitforestier.com/,"Auxerre, France",Auxerre,4
Lhuillier expertise automobile,https://www.expertise-lhuillier.fr/,"Auxerre, France",Auxerre,4
Ad'elite,https://ad-elite.fr/,"Auxerre, France",Auxerre,4
Papyhappy,https://www.papyhappy.fr/,"Auxerre, France",Auxerre,4
Yonne Conditionnement,https://yonne-conditionnement.com/,"Auxerre, France",Auxerre,4
Blanchisserie Interhospitalière,https://gcs-bih-auxerre.fr/,"Auxerre, France",Auxerre,4
A. J. L'Atelier des Jeux,https://www.atelierjeux.fr,"Auxerre, France",Auxerre,4
Bourgogne Produits Frais,https://www.bpfrais.fr/,"Auxerre, France",Auxerre,4
IDS solutions conditionnement,http://idssolutionsconditionnement.com/,"Auxerre, France",Auxerre,4
Travaux Publics Et Industriels Location,https://tpilocation.fr/,"Auxerre, France",Auxerre,4
SNAVEB,https://agence.sarp-assainissement.fr/,"Auxerre, France",Auxerre,3
Akena vérandas,https://www.akena.com/agences/akena-auxerre,"Auxerre, France",Auxerre,3
Savoirs Plus,https://qui-sommes-nous.savoirsplus.fr/,"Auxerre, France",Auxerre,1
Lapied Carrelage,https://www.carreleur-auxerre.com/,"Auxerre, France",Auxerre,1
SOS Informatique,https://www.depannage-sosinformatique.fr/,"Auxerre, France",Auxerre,1
Lely,https://www.lely.com/,"Auxerre, France",Auxerre,1
Amathis,http://www.amathis.fr/,"Auxerre, France",Auxerre,1
Re-Packed,https://re-packed.com/,"Auxerre, France",Auxerre,1
Humain Genealogy,https://humain-genealogy.com,"Auxerre, France",Auxerre,1
Allées de l'Yonne,https://alleesdelyonne.fr/,"Auxerre, France",Auxerre,1
Sfoc Gravier,https://www.sfoc.fr/,"Auxerre, France",Auxerre,1
2RF Conseil,https://www.2rfconseil.fr/,"Auxerre, France",Auxerre,1
Promut,https://promut.fr/,"Auxerre, France",Auxerre,1
Td Bâtiment,https://www.td-batiment.fr/,"Auxerre, France",Auxerre,1
Fereira Diz Nettoyage,https://www.ferreiradiznettoyage.com/,"Auxerre, France",Auxerre,1
Abaqsys,https://abaqsys.com/,"Auxerre, France",Auxerre,1
Dactyl Konica Minolta,https://kmcl.fr/,"Auxerre, France",Auxerre,1
Geotec,https://www.geotec.fr/,"Auxerre, France",Auxerre,1
Apave,https://france.apave.com/,"Auxerre, France",Auxerre,1
Adrexo,https://adrexo.fr/,"Auxerre, France",Auxerre,1
JLB BTP,https://jlbtp.com/,"Auxerre, France",Auxerre,1
cooks and bar,https://www.cooksbar.com/,"Auxerre, France",Auxerre,1
L Forms,https://www.l-forms.fr/,"Auxerre, France",Auxerre,1
Online Formapro,https://www.onlineformapro.com/,"Auxerre, France",Auxerre,1
Kairos Géolocalisation,https://kairosgeo.eu/,"Auxerre, France",Auxerre,1
Elvezia,https://elvezia.fr/,"Auxerre, France",Auxerre,1
Diaméo,https://www.diameo.fr/,"Auxerre, France",Auxerre,1
Conectia Telecom,https://conectia.fr/,"Auxerre, France",Auxerre,1
AJ Services,https://www.ajservices89.fr/,"Auxerre, France",Auxerre,1
Bios,https://www.be-bios.com/,"Auxerre, France",Auxerre,1
Atelier Canopé 89,https://www.reseau-canope.fr/academie-de-dijon/atelier-canope-89-auxerre,"Auxerre, France",Auxerre,1
Komatsu,https://www.komatsu.eu,"Auxerre, France",Auxerre,1
Attila,https://www.attila.fr,"Auxerre, France",Auxerre,1
De colonna,https://www.decolonna.com,"Auxerre, France",Auxerre,1
Tempo Grille,https://www.tempogrille.fr,"Auxerre, France",Auxerre,1
Chevillard et Fils,https://www.chevillard-et-fils.com/,"Auxerre, France",Auxerre,1
Courtet,https://www.demenagement-courtet.com/,"Auxerre, France",Auxerre,1
Alpha Medical,https://www.alpha-medical.fr/,"Auxerre, France",Auxerre,1
Foie gras Rabuat,https://www.foiegras-rabuat.fr/,"Auxerre, France",Auxerre,1
BeesCom,https://www.beescom.fr/,"Auxerre, France",Auxerre,1
Demeco - Yonne Déménagements,https://www.demeco.fr/,"Auxerre, France",Auxerre,1
Extra,https://champs-sur-yonne.extra.fr/,"Auxerre, France",Auxerre,1
TII Move the World,https://www.tii-group.com,"Auxerre, France",Auxerre,1
La Ferme de Claire,https://www.ferme-claire-ulteria.fr/,"Auxerre, France",Auxerre,1
Ulteria,https://www.ulteria.fr/,"Auxerre, France",Auxerre,1
Unibéton,https://www.betons.heidelbergmaterials.fr/fr/implantations-contacts/centrales-beton/region-est/centrale-beton-auxerre-saint-bris-le-vineux-89,"Auxerre, France",Auxerre,1
ASC,https://www.asc-racing.fr/,"Auxerre, France",Auxerre,1
Actemium,https://www.actemium.fr,"Auxerre, France",Auxerre,1
"Icaupack 4,0",https://www.icaupack.com/,"Auxerre, France",Auxerre,1
Laboratoires Galien Macors,https://www.galien.com/,"Auxerre, France",Auxerre,1
Byon,https://www.byon.fr/,"Auxerre, France",Auxerre,1
Mouvex,https://www.psgdover.com/fr/mouvex,"Auxerre, France",Auxerre,1
Layer,https://www.layer.fr,"Auxerre, France",Auxerre,1
Mabéo Industries,https://www.mabeo-industries.com/,"Auxerre, France",Auxerre,1
Cablerie Sab,https://sab-cables.com/,"Auxerre, France",Auxerre,1
Elior Restauration,https://www.elior.fr/,"Auxerre, France",Auxerre,1
Gebat Constructions,https://www.gebat-constructions.fr/,"Auxerre, France",Auxerre,1
Anthalys,https://www.anthalys.com/,"Auxerre, France",Auxerre,1
SARL Upsilon,https://site.upsilon89.com/,"Auxerre, France",Auxerre,1
AbSkill,https://www.abskill.com/,"Auxerre, France",Auxerre,1
Komilfo,https://www.komilfo.fr/magasins/genies-creations-auxerre-89,"Auxerre, France",Auxerre,1
Extra - Delingette,https://www.extra.fr/magasin/extra-chablis,"Auxerre, France",Auxerre,1
Lamblin & Fils,https://www.lamblin.com/,"Auxerre, France",Auxerre,1
Serge Cheveau,https://www.cheveau.com/,"Auxerre, France",Auxerre,1
Transport Bethery,https://www.facebook.com/transportsbetherygilles/,"Auxerre, France",Auxerre,1
Efco Formation,https://efco-formation.com/,"Auxerre, France",Auxerre,-2
Forqa Formation,https://www.forqa-groupe.com/,"Auxerre, France",Auxerre,-2
